name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Chuck Hockenbery,B,73,195,0,0,0,0,0,0
Bob Ferris,R,78,225,0,0,0,0,0,0
Fernando Gonzalez,R,70,165,0.235,17,0.235,0,17,0
Jim Sundberg,R,72,190,0.248,95,0.248,0,95,0
Andy Kosco,R,75,205,0.236,73,0.236,0,73,0
Steve Huntz,B,73,204,0.206,16,0,0,0,0
Gary Wheelock,R,75,205,0,0,0,0,0,0
Lenny Faedo,R,72,170,0.251,5,0.251,0,5,0
John Lowenstein,L,72,175,0.253,116,0,0.253,0,116
Don Kessinger,B,73,170,0.252,14,0,0,0,0
Joe Hague,L,72,195,0.239,40,0,0.239,0,40
Bake McBride,L,74,190,0.299,63,0,0.299,0,63
Dick Davis,R,75,190,0.265,27,0.265,0,27,0
Richie Scheinblum,B,73,180,0.263,13,0,0,0,0
Ed Herrmann,L,73,195,0.24,80,0,0.24,0,80
Mike Rochford,L,76,205,0,0,0,0,0,0
Jeff Schneider,B,75,195,0,0,0,0,0,0
Bob Molinaro,L,72,190,0.264,14,0,0.264,0,14
Mike Hegan,L,73,188,0.242,53,0,0.242,0,53
Mike Diaz,R,74,195,0.247,31,0.247,0,31,0
Tim Foli,R,72,179,0.251,25,0.251,0,25,0
Alan Knicely,R,72,190,0.213,12,0.213,0,12,0
Tim Laudner,R,75,212,0.225,77,0.225,0,77,0
Jose Morales,R,71,187,0.287,26,0.287,0,26,0
Luis Encarnacion,R,70,178,0,0,0,0,0,0
Rick Kreuger,R,74,185,0,0,0,0,0,0
Juan Marichal,R,72,185,0.165,4,0.165,0,4,0
Vida Blue,B,72,189,0.104,4,0,0,0,0
Angel Moreno,L,69,165,0,0,0,0,0,0
Roger Weaver,R,75,190,0,0,0,0,0,0
Stan Papi,R,72,170,0.218,7,0.218,0,7,0
Rob Wilfong,L,73,180,0.248,39,0,0.248,0,39
Chris Knapp,R,77,195,0,0,0,0,0,0
Steve Henderson,R,74,190,0.28,68,0.28,0,68,0
Rob Picciolo,R,74,185,0.234,17,0.234,0,17,0
Don Welchel,R,76,205,0,0,0,0,0,0
Randy Wiles,L,73,185,0,0,0,0,0,0
Roberto Pena,R,68,170,0.245,13,0.245,0,13,0
Bob Dernier,R,72,160,0.255,23,0.255,0,23,0
Bill Melton,R,74,200,0.253,160,0.253,0,160,0
Albert Hall,B,71,155,0.251,5,0,0,0,0
Barbaro Garbey,R,70,170,0.267,11,0.267,0,11,0
John Milner,L,72,185,0.249,131,0,0.249,0,131
Rich Reese,L,75,185,0.253,52,0,0.253,0,52
Chris Bando,B,72,195,0.227,27,0,0,0,0
Bill Buckner,L,72,185,0.289,174,0,0.289,0,174
Jack Hiatt,R,74,190,0.251,22,0.251,0,22,0
Nelson Mathews,R,76,195,0.223,22,0.223,0,22,0
Larry Lintz,B,69,150,0.227,0,0,0,0,0
Ron Theobald,R,68,165,0.248,2,0.248,0,2,0
Dewey Robinson,R,72,180,0,0,0,0,0,0
Rafael Santana,R,73,165,0.246,13,0.246,0,13,0
Jerry Hairston,B,70,170,0.258,30,0,0,0,0
Tony Arnold,R,71,170,0,0,0,0,0,0
Jeff Schattinger,L,77,200,0,0,0,0,0,0
Ike Brookens,R,77,170,0,0,0,0,0,0
Tommie Aaron,R,75,190,0.229,13,0.229,0,13,0
Steve Dillard,R,73,180,0.243,13,0.243,0,13,0
Win Remmerswaal,R,74,160,0,0,0,0,0,0
Jeff Peterek,R,74,195,0,0,0,0,0,0
George Scott,R,74,200,0.268,271,0.268,0,271,0
Jeff Shaver,R,75,195,0,0,0,0,0,0
Ken Walters,R,73,180,0.231,11,0.231,0,11,0
Gorman Thomas,R,74,210,0.225,268,0.225,0,268,0
Paul Dade,R,73,185,0.27,10,0.27,0,10,0
Darrell Porter,L,72,193,0.247,188,0,0.247,0,188
Tim Johnson,L,73,170,0.223,0,0,0.223,0,0
Fred Stanley,R,70,165,0.216,10,0.216,0,10,0
Larry Bowa,B,70,155,0.26,15,0,0,0,0
Tim Corcoran,L,71,175,0.27,12,0,0.27,0,12
Jim Spencer,L,74,195,0.25,146,0,0.25,0,146
Pete LaCock,L,74,200,0.257,27,0,0.257,0,27
Carl Morton,R,72,200,0.156,7,0.156,0,7,0
Gary Gray,R,72,187,0.24,24,0.24,0,24,0
Matty Alou,L,69,160,0.307,31,0,0.307,0,31
Pete Filson,B,74,195,0,0,0,0,0,0
Jim Dwyer,L,70,165,0.26,77,0,0.26,0,77
Dalton Jones,L,73,180,0.235,41,0,0.235,0,41
Rennie Stennett,R,71,160,0.274,41,0.274,0,41,0
Jim Gideon,R,75,190,0,0,0,0,0,0
Jerry May,R,74,190,0.234,15,0.234,0,15,0
Rich McKinney,R,71,185,0.225,20,0.225,0,20,0
Clint Hurdle,L,75,195,0.259,32,0,0.259,0,32
Mike Andrews,R,75,195,0.258,66,0.258,0,66,0
Bobby Clark,R,72,190,0.239,19,0.239,0,19,0
Jeff Twitty,L,74,185,0,0,0,0,0,0
Cliff Johnson,R,76,215,0.258,196,0.258,0,196,0
Steve Cummings,B,74,200,0,0,0,0,0,0
Donn Clendenon,R,76,209,0.274,159,0.274,0,159,0
Charlie James,R,73,195,0.255,29,0.255,0,29,0
Bob Horner,R,73,195,0.277,218,0.277,0,218,0
Tom Veryzer,R,73,175,0.241,14,0.241,0,14,0
Jose Cecena,R,71,180,0,0,0,0,0,0
George Smith,R,70,170,0.205,9,0.205,0,9,0
Jim Essian,R,74,195,0.244,33,0.244,0,33,0
Onix Concepcion,R,66,160,0.239,3,0.239,0,3,0
Boots Day,L,69,160,0.256,8,0,0.256,0,8
Brian Giles,R,73,165,0.228,10,0.228,0,10,0
Garry Maddox,R,75,175,0.285,117,0.285,0,117,0
Alex Trevino,R,70,165,0.249,23,0.249,0,23,0
Jim Price,R,72,192,0.214,18,0.214,0,18,0
Felix Millan,R,71,172,0.279,22,0.279,0,22,0
Steve Garvey,R,70,192,0.294,272,0.294,0,272,0
Don Mincher,L,75,205,0.249,200,0,0.249,0,200
Greg Erardi,R,73,190,0,0,0,0,0,0
Jim Farr,R,73,195,0,0,0,0,0,0
Tony Cloninger,R,72,210,0.192,11,0.192,0,11,0
Jim Gosger,L,71,185,0.226,30,0,0.226,0,30
Chuck Harrison,R,70,185,0.238,17,0.238,0,17,0
Mike Ivie,R,75,205,0.269,81,0.269,0,81,0
Frank Dimichele,R,75,205,0,0,0,0,0,0
Bob Veale,B,78,212,0.114,0,0,0,0,0
Marvell Wynne,L,71,175,0.247,40,0,0.247,0,40
Dusty Baker,R,74,183,0.278,242,0.278,0,242,0
Tucker Ashford,R,73,195,0.218,6,0.218,0,6,0
Ned Yost,R,73,190,0.212,16,0.212,0,16,0
Bob Stinson,B,71,180,0.25,33,0,0,0,0
Mike Warren,R,73,175,0,0,0,0,0,0
Gaylord Perry,R,76,205,0.131,6,0.131,0,6,0
Dave Marshall,L,73,182,0.246,16,0,0.246,0,16
Mickey Hatcher,R,74,200,0.28,38,0.28,0,38,0
Roger Repoz,L,75,190,0.224,82,0,0.224,0,82
Bill Fulton,R,75,195,0,0,0,0,0,0
John Orsino,R,75,215,0.249,40,0.249,0,40,0
Larry Anderson,R,75,190,0,0,0,0,0,0
Johnny Briggs,L,73,190,0.253,139,0,0.253,0,139
Craig Mitchell,R,75,180,0,0,0,0,0,0
Dave Hostetler,R,76,215,0.229,37,0.229,0,37,0
Bob Jones,L,74,195,0.221,20,0,0.221,0,20
Keith Hernandez,L,72,180,0.296,162,0,0.296,0,162
Alfredo Martinez,R,75,185,0,0,0,0,0,0
Dean Chance,R,75,200,0.066,0,0.066,0,0,0
Willie Upshaw,L,72,185,0.262,123,0,0.262,0,123
Dick Green,R,70,180,0.24,80,0.24,0,80,0
Dane Iorg,L,72,180,0.276,14,0,0.276,0,14
Richie Hebner,L,73,195,0.276,203,0,0.276,0,203
Fran Healy,R,77,220,0.25,20,0.25,0,20,0
Doc Edwards,R,74,215,0.238,15,0.238,0,15,0
Sandy Alomar,B,69,140,0.245,13,0,0,0,0
Joe Strain,R,70,169,0.25,1,0.25,0,1,0
Gene Richards,L,72,175,0.29,26,0,0.29,0,26
Buddy Bell,R,73,180,0.279,201,0.279,0,201,0
Al Woods,L,75,190,0.271,35,0,0.271,0,35
Rudy Law,L,73,165,0.271,18,0,0.271,0,18
Joel Davis,L,77,205,0,0,0,0,0,0
Jody Davis,R,76,192,0.245,127,0.245,0,127,0
Mike Edwards,R,70,154,0.25,2,0.25,0,2,0
Bill Mooneyham,R,72,175,0,0,0,0,0,0
John Hobbs,R,75,190,0,0,0,0,0,0
Deron Johnson,R,74,200,0.244,245,0.244,0,245,0
John Denny,R,75,185,0.17,0,0.17,0,0,0
Don Wert,R,70,162,0.242,77,0.242,0,77,0
Mike Fiore,L,72,175,0.227,13,0,0.227,0,13
Miguel Dilone,B,72,160,0.265,6,0,0,0,0
Greg Luzinski,R,73,220,0.276,307,0.276,0,307,0
Bobby Tolan,L,71,170,0.265,86,0,0.265,0,86
Karl Best,R,76,190,0,0,0,0,0,0
Steve Barr,L,76,200,0,0,0,0,0,0
Ron Woods,R,70,168,0.233,26,0.233,0,26,0
Tony Horton,R,75,210,0.268,76,0.268,0,76,0
Randy Hundley,R,71,170,0.236,82,0.236,0,82,0
Jose Tartabull,L,71,165,0.261,2,0,0.261,0,2
Ben Oglivie,L,74,160,0.273,235,0,0.273,0,235
Luis Sanchez,R,74,170,0,0,0,0,0,0
Bob Johnson,R,70,175,0.272,44,0.272,0,44,0
Don Buford,B,67,160,0.264,93,0,0,0,0
Duane Kuiper,L,72,175,0.271,1,0,0.271,0,1
Brant Alyea,R,75,215,0.247,38,0.247,0,38,0
Jerry Narron,L,75,205,0.211,21,0,0.211,0,21
Lou Johnson,R,71,170,0.258,48,0.258,0,48,0
Ken Retzer,L,72,185,0.264,14,0,0.264,0,14
Mike Brown,R,74,195,0.265,23,0.265,0,23,0
Mike Brown,R,74,195,0,0,0,0,0,0
Greg Walker,L,75,205,0.26,113,0,0.26,0,113
Terry Harper,R,76,195,0.253,36,0.253,0,36,0
Jerry Royster,R,72,165,0.249,40,0.249,0,40,0
Steve Davis,L,73,195,0,0,0,0,0,0
Jeff Rineer,L,76,205,0,0,0,0,0,0
Barry Bonnell,R,75,190,0.272,56,0.272,0,56,0
Tom Seaver,R,73,195,0.154,12,0.154,0,12,0
Jerry Martin,R,73,195,0.251,85,0.251,0,85,0
Bill Stein,R,70,170,0.267,44,0.267,0,44,0
Joel Youngblood,R,72,180,0.265,80,0.265,0,80,0
Reggie Jackson,L,72,195,0.262,563,0,0.262,0,563
Sonny Jackson,L,69,150,0.251,7,0,0.251,0,7
Mark Mercer,L,77,220,0,0,0,0,0,0
Rodney Scott,B,72,160,0.236,3,0,0,0,0
Rich Coggins,L,68,170,0.265,12,0,0.265,0,12
Phil Gagliano,R,73,180,0.238,14,0.238,0,14,0
Jerry McNertney,R,72,180,0.237,27,0.237,0,27,0
Mitchell Page,L,74,205,0.266,72,0,0.266,0,72
Kiko Garcia,R,71,180,0.239,12,0.239,0,12,0
Larry Milbourne,B,72,161,0.254,11,0,0,0,0
Bill Sudakis,B,73,190,0.234,59,0,0,0,0
John Caneira,R,75,180,0,0,0,0,0,0
Domingo Ramos,R,70,154,0.24,8,0.24,0,8,0
Ron Oester,B,74,185,0.265,42,0,0,0,0
Glenn Adams,L,73,180,0.28,34,0,0.28,0,34
Clint Zavaras,R,73,175,0,0,0,0,0,0
Joe Morgan,L,67,160,0.271,268,0,0.271,0,268
R.J. Reynolds,B,72,190,0.267,35,0,0,0,0
Mike Parrott,R,76,210,0,0,0,0,0,0
Lee Thomas,L,74,195,0.255,106,0,0.255,0,106
Ray Fosse,R,74,215,0.256,61,0.256,0,61,0
Paul Popovich,B,72,175,0.233,14,0,0,0,0
John Stephenson,L,71,180,0.216,12,0,0.216,0,12
Doug Clemens,L,72,180,0.229,12,0,0.229,0,12
Luis Aponte,R,72,185,0,0,0,0,0,0
Orlando Mercado,R,72,180,0.199,7,0.199,0,7,0
Charley Smith,R,73,170,0.239,69,0.239,0,69,0
Paul Boris,R,74,200,0,0,0,0,0,0
Buddy Biancalana,B,71,160,0.205,6,0,0,0,0
De Wayne Buice,R,72,170,0,0,0,0,0,0
Bob Uecker,R,73,190,0.2,14,0.2,0,14,0
Felix Torres,R,71,165,0.254,27,0.254,0,27,0
Steve Braun,L,70,180,0.271,52,0,0.271,0,52
Ray Knight,R,73,185,0.271,84,0.271,0,84,0
Ty Cline,L,72,170,0.238,6,0,0.238,0,6
Thad Bosley,L,75,175,0.272,20,0,0.272,0,20
Bobby Grich,R,74,180,0.266,224,0.266,0,224,0
Jimmie Hall,L,72,175,0.254,121,0,0.254,0,121
John Boccabella,R,73,195,0.219,26,0.219,0,26,0
Brock Davis,L,70,160,0.26,1,0,0.26,0,1
Mark Esser,R,73,190,0,0,0,0,0,0
Curt Blefary,L,74,195,0.237,112,0,0.237,0,112
Daryl Smith,R,76,185,0,0,0,0,0,0
Dave Smith,R,73,190,0,0,0,0,0,0
Mack Jones,L,73,180,0.252,133,0,0.252,0,133
Buddy Bradford,R,71,170,0.226,52,0.226,0,52,0
Hosken Powell,L,73,175,0.259,17,0,0.259,0,17
Dave Stapleton,L,73,185,0,0,0,0,0,0
Dave Stapleton,R,73,178,0.271,41,0.271,0,41,0
Gary Ward,R,74,195,0.276,130,0.276,0,130,0
Jim Lonborg,R,77,200,0.136,3,0.136,0,3,0
Joe Lis,R,72,175,0.233,32,0.233,0,32,0
Dan Meyer,L,71,180,0.253,86,0,0.253,0,86
Jim Holt,L,72,180,0.265,19,0,0.265,0,19
Tom Klawitter,R,74,190,0,0,0,0,0,0
Larry Herndon,R,75,190,0.274,107,0.274,0,107,0
Gary Christenson,L,77,200,0,0,0,0,0,0
Jim Wright,R,77,205,0,0,0,0,0,0
Jim Wright,R,73,165,0,0,0,0,0,0
Wallace Johnson,B,72,173,0.255,5,0,0,0,0
Mike Kinnunen,L,73,185,0,0,0,0,0,0
Eddie Leon,R,72,170,0.236,24,0.236,0,24,0
Dave Rajsich,L,77,175,0,0,0,0,0,0
Jim Wohlford,R,71,175,0.26,21,0.26,0,21,0
J.R. Richard,R,80,222,0.168,10,0.168,0,10,0
Bill Voss,L,74,160,0.227,19,0,0.227,0,19
Keith Moreland,R,72,190,0.279,121,0.279,0,121,0
Ramon Pena,R,70,155,0,0,0,0,0,0
Alex Johnson,R,72,205,0.288,78,0.288,0,78,0
Wayne Krenchicki,L,73,180,0.266,15,0,0.266,0,15
Chico Escarrega,R,71,185,0,0,0,0,0,0
Dave Rosello,R,71,160,0.236,10,0.236,0,10,0
Cardell Camper,R,75,208,0,0,0,0,0,0
Paul Schaal,R,71,165,0.244,57,0.244,0,57,0
Tito Landrum,R,71,175,0.249,13,0.249,0,13,0
Dave Edwards,R,72,170,0.237,14,0.237,0,14,0
Mario Guerrero,R,70,155,0.257,7,0.257,0,7,0
Tom Tresh,B,73,180,0.245,153,0,0,0,0
Mike Overy,R,74,190,0,0,0,0,0,0
Ron Roenicke,B,72,180,0.238,17,0,0,0,0
Doug Griffin,R,72,160,0.245,7,0.245,0,7,0
Steve Blass,R,72,165,0.172,1,0.172,0,1,0
Johnnie LeMaster,R,74,165,0.222,22,0.222,0,22,0
Craig Chamberlain,R,73,190,0,0,0,0,0,0
Nate Oliver,R,70,160,0.226,2,0.226,0,2,0
Ray Sadecki,L,71,180,0.191,5,0,0.191,0,5
Ken Rudolph,R,73,180,0.213,6,0.213,0,6,0
Wayne Nordhagen,R,74,205,0.282,39,0.282,0,39,0
Biff Pocoroba,B,70,175,0.257,21,0,0,0,0
Len Matuszek,L,74,190,0.234,30,0,0.234,0,30
Frank Eufemia,R,71,185,0,0,0,0,0,0
Joe Lefebvre,L,70,170,0.258,31,0,0.258,0,31
Jim Maloney,L,74,190,0.201,7,0,0.201,0,7
Andre Robertson,R,70,155,0.251,5,0.251,0,5,0
Jerry Zimmerman,R,74,185,0.204,3,0.204,0,3,0
Jack Lazorko,R,71,200,0,0,0,0,0,0
Mike Paxton,R,71,190,0,0,0,0,0,0
Chet Lemon,R,72,190,0.273,215,0.273,0,215,0
Rickey Keeton,R,74,190,0,0,0,0,0,0
Phil Mankowski,L,72,180,0.264,8,0,0.264,0,8
Cleon Jones,R,72,185,0.281,93,0.281,0,93,0
Joaquin Andujar,B,72,170,0.127,5,0,0,0,0
Mike Lum,L,72,180,0.247,90,0,0.247,0,90
Johnny Grubb,L,75,175,0.278,99,0,0.278,0,99
Curt Motton,R,68,164,0.213,25,0.213,0,25,0
Johnny Bench,R,73,197,0.267,389,0.267,0,389,0
Dale Berra,R,72,180,0.236,49,0.236,0,49,0
Terry Felton,R,73,180,0,0,0,0,0,0
Bob Meacham,B,73,175,0.236,8,0,0,0,0
Mark Clear,R,76,200,0,0,0,0,0,0
Carl Warwick,R,70,170,0.248,31,0.248,0,31,0
Sam Bowens,R,73,188,0.223,45,0.223,0,45,0
George Wright,B,71,180,0.245,42,0,0,0,0
Luis Aguayo,R,69,173,0.236,37,0.236,0,37,0
Hal Lanier,R,74,180,0.228,8,0.228,0,8,0
Mike Pazik,L,74,195,0,0,0,0,0,0
Len Randle,B,70,169,0.257,27,0,0,0,0
Greg Pryor,R,72,180,0.25,14,0.25,0,14,0
Jim Traber,L,72,194,0.227,27,0,0.227,0,27
Dave Nelson,R,70,160,0.244,20,0.244,0,20,0
Lynn Jones,R,69,175,0.252,7,0.252,0,7,0
Bryan Little,B,70,160,0.245,3,0,0,0,0
Ken Suarez,R,69,175,0.227,5,0.227,0,5,0
Rick Peters,B,69,170,0.277,2,0,0,0,0
Ron Stone,L,74,185,0.241,6,0,0.241,0,6
Rich Barnes,R,76,186,0,0,0,0,0,0
Tommie Agee,R,71,195,0.255,130,0.255,0,130,0
Bob Bailey,R,73,180,0.257,189,0.257,0,189,0
Cap Peterson,R,74,195,0.23,19,0.23,0,19,0
Ted Uhlaender,L,74,190,0.263,36,0,0.263,0,36
Ted Simmons,B,71,193,0.285,248,0,0,0,0
Bobby Murcer,L,71,160,0.277,252,0,0.277,0,252
Dick Tracewski,R,71,160,0.213,8,0.213,0,8,0
Dave Frost,R,78,235,0,0,0,0,0,0
Mark Souza,L,72,180,0,0,0,0,0,0
Bill Nahorodny,R,74,200,0.241,25,0.241,0,25,0
Bill Madlock,R,71,180,0.305,163,0.305,0,163,0
Bob Boone,R,74,195,0.254,105,0.254,0,105,0
Rick Jones,L,77,190,0,0,0,0,0,0
Steve Kemp,L,72,195,0.278,130,0,0.278,0,130
Rick Burleson,R,70,165,0.273,50,0.273,0,50,0
Jim Dorsey,R,79,190,0,0,0,0,0,0
Mark Ciardi,R,72,180,0,0,0,0,0,0
Dennis Burtt,R,72,180,0,0,0,0,0,0
Carl Taylor,R,74,200,0.266,10,0.266,0,10,0
Terry Harmon,R,74,180,0.233,4,0.233,0,4,0
Mike Hargrove,L,72,195,0.29,80,0,0.29,0,80
Rich Yett,R,74,187,0,0,0,0,0,0
Steve Hovley,L,70,188,0.258,8,0,0.258,0,8
Don Leppert,R,74,220,0.229,15,0.229,0,15,0
Matt Williams,R,73,200,0,0,0,0,0,0
Jim Burton,R,75,195,0,0,0,0,0,0
Rick Anderson,R,74,210,0,0,0,0,0,0
Charlie Mitchell,R,75,170,0,0,0,0,0,0
Bill Paschall,R,72,175,0,0,0,0,0,0
John Bohnet,B,72,175,0,0,0,0,0,0
Byron McLaughlin,R,73,175,0,0,0,0,0,0
Lee May,R,75,195,0.267,354,0.267,0,354,0
Luis Quintana,L,74,175,0,0,0,0,0,0
Sam McDowell,L,77,190,0.154,2,0,0.154,0,2
Rick Renick,R,72,188,0.221,20,0.221,0,20,0
Jeff Torborg,R,72,195,0.214,8,0.214,0,8,0
Dave Campbell,R,73,180,0.213,20,0.213,0,20,0
Pat Kelly,L,73,185,0.264,76,0,0.264,0,76
Al Weis,B,72,160,0.219,7,0,0,0,0
Jerry Turner,L,69,180,0.257,45,0,0.257,0,45
Rick Auerbach,R,72,165,0.22,9,0.22,0,9,0
Keith Macwhorter,R,76,190,0,0,0,0,0,0
Don Wilson,R,74,195,0.146,1,0.146,0,1,0
Jaime Cocanower,R,76,200,0,0,0,0,0,0
Jeff Sellers,R,73,175,0,0,0,0,0,0
Sandy Valdespino,L,68,170,0.23,7,0,0.23,0,7
Steve Senteney,R,74,205,0,0,0,0,0,0
Howard Bailey,R,72,195,0,0,0,0,0,0
Jeff Bettendorf,R,75,180,0,0,0,0,0,0
Ken Phelps,L,73,209,0.239,123,0,0.239,0,123
Cesar Cedeno,R,74,175,0.285,199,0.285,0,199,0
Bob Davidson,R,72,185,0,0,0,0,0,0
Phil Linz,R,73,180,0.235,11,0.235,0,11,0
Manny Mota,R,70,160,0.304,31,0.304,0,31,0
Brian Snyder,L,75,185,0,0,0,0,0,0
Steve Renko,R,77,230,0.215,6,0.215,0,6,0
Rick Sofield,L,73,195,0.243,9,0,0.243,0,9
Carlos Velazquez,R,71,180,0,0,0,0,0,0
Roger Miller,R,75,200,0,0,0,0,0,0
Doug DeCinces,R,74,190,0.259,237,0.259,0,237,0
John Castino,R,71,175,0.278,41,0.278,0,41,0
Dave May,L,70,186,0.251,96,0,0.251,0,96
Ron Washington,R,71,155,0.261,20,0.261,0,20,0
Billy Grabarkewitz,R,70,165,0.236,28,0.236,0,28,0
Willie Aikens,L,75,220,0.271,110,0,0.271,0,110
Earl Williams,R,75,215,0.247,138,0.247,0,138,0
Willie Mueller,R,76,220,0,0,0,0,0,0
John Flinn,R,72,175,0,0,0,0,0,0
Don Hahn,R,73,180,0.236,7,0.236,0,7,0
Todd Cruz,R,72,175,0.22,34,0.22,0,34,0
Tom Egan,R,76,218,0.2,22,0.2,0,22,0
Bob Heise,R,72,175,0.247,1,0.247,0,1,0
Tommy Harper,R,69,165,0.257,146,0.257,0,146,0
Joe Wallis,B,71,180,0.244,16,0,0,0,0
Max Alvis,R,71,185,0.247,111,0.247,0,111,0
Rico Carty,R,75,200,0.299,204,0.299,0,204,0
Mike Cubbage,L,72,180,0.258,34,0,0.258,0,34
Les Straker,R,73,193,0,0,0,0,0,0
Merritt Ranew,L,71,170,0.247,8,0,0.247,0,8
Lyman Bostock,L,73,180,0.311,23,0,0.311,0,23
Damaso Garcia,R,73,165,0.283,36,0.283,0,36,0
Don Kainer,R,75,205,0,0,0,0,0,0
Don Gordon,R,73,175,0,0,0,0,0,0
Roy Howell,L,73,190,0.261,80,0,0.261,0,80
Boog Powell,L,76,230,0.266,339,0,0.266,0,339
Sandy Wihtol,R,73,195,0,0,0,0,0,0
Sonny Siebert,R,75,190,0.173,12,0.173,0,12,0
Jeff Richardson,R,75,185,0,0,0,0,0,0
Bobby Darwin,R,74,190,0.251,83,0.251,0,83,0
Dennis DeBarr,L,74,190,0,0,0,0,0,0
Dan Driessen,L,71,187,0.267,153,0,0.267,0,153
Bruce Miller,R,73,185,0.246,1,0.246,0,1,0
Bob Bailor,R,71,170,0.264,9,0.264,0,9,0
Tommy Helms,R,70,165,0.269,34,0.269,0,34,0
Tony Armas,R,71,182,0.252,251,0.252,0,251,0
Willie Horton,R,71,209,0.273,325,0.273,0,325,0
Lou Piniella,R,72,182,0.291,102,0.291,0,102,0
Butch Hobson,R,73,193,0.248,98,0.248,0,98,0
John Wathan,R,74,205,0.262,21,0.262,0,21,0
Hal King,L,73,200,0.214,24,0,0.214,0,24
Mike Krukow,R,77,205,0.193,5,0.193,0,5,0
Andres Mora,R,72,180,0.223,27,0.223,0,27,0
Barry Foote,R,75,205,0.23,57,0.23,0,57,0
Ed Ott,L,70,190,0.259,33,0,0.259,0,33
Alan Wiggins,B,74,160,0.259,5,0,0,0,0
Ron Clark,R,70,175,0.189,5,0.189,0,5,0
Jay Pettibone,R,76,182,0,0,0,0,0,0
Glen Cook,R,71,180,0,0,0,0,0,0
Julio Gotay,R,72,180,0.26,6,0.26,0,6,0
Gary Alexander,R,74,195,0.23,55,0.23,0,55,0
Andre Thornton,R,75,200,0.254,253,0.254,0,253,0
Bob Oliver,R,75,205,0.256,94,0.256,0,94,0
Bill Castro,R,71,170,0,0,0,0,0,0
Ed Hodge,L,74,192,0,0,0,0,0,0
Tom Buskey,R,75,200,0,0,0,0,0,0
Bruce Taylor,R,72,178,0,0,0,0,0,0
Stan Thomas,R,74,185,0,0,0,0,0,0
Bob Robertson,R,73,195,0.242,115,0.242,0,115,0
Larry Monroe,R,76,200,0,0,0,0,0,0
Roger Slagle,R,75,190,0,0,0,0,0,0
Ollie Brown,R,74,178,0.265,102,0.265,0,102,0
Jim Campbell,L,71,175,0,0,0,0,0,0
Frank Quilici,R,73,170,0.214,5,0.214,0,5,0
Curt Kaufman,R,74,175,0,0,0,0,0,0
Joe Pepitone,L,74,185,0.258,219,0,0.258,0,219
Steve Barber,L,72,195,0.115,5,0,0.115,0,5
De Wayne Vaughn,R,71,180,0,0,0,0,0,0
Norm Miller,L,70,185,0.238,24,0,0.238,0,24
Bob Galasso,L,73,205,0,0,0,0,0,0
Rich Wortham,R,72,185,0,0,0,0,0,0
Bob Chance,L,74,196,0.261,24,0,0.261,0,24
Julio Cruz,B,69,165,0.237,23,0,0,0,0
Bill Sample,R,69,175,0.272,46,0.272,0,46,0
Juan Nieves,L,75,175,0,0,0,0,0,0
Mike Bacsik,R,74,180,0,0,0,0,0,0
Craig Kusick,R,75,210,0.235,46,0.235,0,46,0
Rudy Meoli,L,69,165,0.212,2,0,0.212,0,2
Ruppert Jones,L,70,170,0.25,147,0,0.25,0,147
Glenn Hoffman,R,73,175,0.242,23,0.242,0,23,0
Russ Gibson,R,73,195,0.228,8,0.228,0,8,0
Phil Huffman,R,74,180,0,0,0,0,0,0
Terry Francona,L,73,190,0.274,16,0,0.274,0,16
John Bateman,R,75,210,0.23,81,0.23,0,81,0
Luis Pujols,R,74,175,0.193,6,0.193,0,6,0
Joe Gaines,R,73,190,0.241,21,0.241,0,21,0
Doug Rader,R,74,208,0.251,155,0.251,0,155,0
Mickey Stanley,R,73,185,0.248,117,0.248,0,117,0
Steve Brown,R,77,200,0,0,0,0,0,0
Rick Lysander,R,74,190,0,0,0,0,0,0
Phil Bradley,R,72,185,0.286,78,0.286,0,78,0
Winston Llenas,R,70,165,0.23,3,0.23,0,3,0
Charlie Moore,R,71,180,0.261,36,0.261,0,36,0
Ralph Garr,L,71,185,0.306,75,0,0.306,0,75
Tommy John,R,75,180,0.157,5,0.157,0,5,0
Bruce Benedict,R,73,175,0.242,18,0.242,0,18,0
John Ellis,R,74,225,0.262,69,0.262,0,69,0
Wes Parker,B,73,180,0.267,64,0,0,0,0
Mel Stottlemyre,R,72,190,0,0,0,0,0,0
David Green,R,75,170,0.268,31,0.268,0,31,0
Reid Nichols,R,71,165,0.266,22,0.266,0,22,0
Rick Reichardt,R,75,210,0.261,116,0.261,0,116,0
Luis Tiant,R,72,180,0.164,5,0.164,0,5,0
Alex Sanchez,R,74,185,0,0,0,0,0,0
Broderick Perkins,L,70,180,0.271,8,0,0.271,0,8
Leon Roberts,R,75,200,0.267,78,0.267,0,78,0
Ray Burris,R,77,200,0.151,1,0.151,0,1,0
Len Gabrielson,L,76,210,0.253,37,0,0.253,0,37
Johnny Edwards,L,76,220,0.242,81,0,0.242,0,81
Paul Wilmet,R,71,170,0,0,0,0,0,0
Tom Grieve,R,74,190,0.249,65,0.249,0,65,0
Bruce Ellingsen,L,72,180,0,0,0,0,0,0
Bob Forsch,R,76,200,0.213,12,0.213,0,12,0
Gorman Heimueller,L,76,195,0,0,0,0,0,0
Danny Cater,R,72,170,0.276,66,0.276,0,66,0
Bill Schroeder,R,74,200,0.24,61,0.24,0,61,0
