name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Otto Velez,R,72,170,0.251,78,0.251,0,78,0
Tony Scott,B,72,164,0.249,17,0,0,0,0
Ray Oyler,R,71,165,0.175,15,0.175,0,15,0
Barry Cort,R,77,210,0,0,0,0,0,0
Floyd Robinson,L,69,175,0.283,67,0,0.283,0,67
Steve Jeltz,B,71,180,0.21,5,0,0,0,0
Lou Brock,L,71,170,0.293,149,0,0.293,0,149
Bill Wilkinson,R,70,160,0,0,0,0,0,0
Joe Lovitto,B,72,185,0.216,4,0,0,0,0
Mike Loynd,R,76,210,0,0,0,0,0,0
Wayne Comer,R,70,175,0.229,16,0.229,0,16,0
Dave Collins,B,71,175,0.272,32,0,0,0,0
Ed Spiezio,R,71,180,0.238,39,0.238,0,39,0
Rico Petrocelli,R,72,175,0.251,210,0.251,0,210,0
Johnny Lewis,L,73,189,0.227,22,0,0.227,0,22
Dick Simpson,R,76,176,0.207,15,0.207,0,15,0
Ken Boswell,L,72,170,0.248,31,0,0.248,0,31
Ken McMullen,R,75,190,0.248,156,0.248,0,156,0
Randy Scarbery,B,73,185,0,0,0,0,0,0
Steve Swisher,R,74,205,0.216,20,0.216,0,20,0
Ben Callahan,R,79,230,0,0,0,0,0,0
Dick Howser,R,68,155,0.248,16,0.248,0,16,0
Manny Castillo,B,69,160,0.242,3,0,0,0,0
Mike Ramsey,B,73,170,0.24,2,0,0,0,0
Willie Crawford,L,73,197,0.268,86,0,0.268,0,86
Bobby Cuellar,R,71,188,0,0,0,0,0,0
Willie Norwood,R,72,185,0.242,18,0.242,0,18,0
Mike Jones,L,78,215,0,0,0,0,0,0
Jeff Stone,L,72,175,0.277,11,0,0.277,0,11
Ramon Manon,R,72,150,0,0,0,0,0,0
Joe Lahoud,L,73,198,0.223,65,0,0.223,0,65
Tim Flannery,L,71,175,0.255,9,0,0.255,0,9
Dave McKay,B,73,195,0.229,21,0,0,0,0
John Trautwein,R,75,205,0,0,0,0,0,0
Andy Replogle,R,77,205,0,0,0,0,0,0
Zach Crouch,L,75,180,0,0,0,0,0,0
Benny Ayala,R,73,185,0.251,38,0.251,0,38,0
Ron Romanick,R,76,195,0,0,0,0,0,0
Greg Gross,L,70,160,0.287,7,0,0.287,0,7
Bruce Tanner,L,75,220,0,0,0,0,0,0
